"source","target"
"tis exactly valued,not petty things admitted.","its all about the real value, not the basic stuff."
"they fight;the king being in danger,enter prince henry.","theyre clashing, and with the king in deep, prince henry rolls in."
"i hope it is not so low with him as he made it seem in the trial of his several friends.","hope he aint as sus as he came off in his squads trial."
"i will be free from thee.","im bouncing from you."
"how irksome is this music to my heart!","this beat is mad annoying to my vibe."
"gloucester,thou wilt answer this before the pope.","gloucester, you gotta drop an answer—like, before the pope does."
"what he hath utterd i have writ my sister:if she sustain him and his hundred knights,when i have showd thunfitness,re-enter oswald.","i jotted down what he said for my sis: if shes cool with him and his hundred knights, then when i show hes wack, oswald can slide back in."
"tis good we do so.","yeah, thats the move."
"ist so,indeed?","fr, is that legit?"
"poor hand,why quiverst thou at this decree?","aw man, why you trippin over this order?"
"i have heard that guilty creatures sitting at a play,have by the very cunning of the scene,been struck so to the soul that presently they have proclaimd their malefactions.","heard that guilty peeps at a play got so deep in the scene they ended up confessing all their shady moves."
"to bed,to bed,to bed.","straight to bed, fam."
"a prize,a prize,a prize!","major win, major win, major win!"
"his garment!","yo, peep his drip!"
"in which regard,though i do hate him as i do hell pains,yet,for necessity of present life,i must show out a flag and sign of love,which is indeed but sign.","so yeah, even though i lowkey hate him, i gotta flash that love badge for now."
"still have i tarried.","ive been chillin here a bit longer."
"tis gaultree forest,an t shall please your grace.","its gaultree forest—should totally please your vibe."
"i have too grievd a heart to take a tedious leave.","my hearts too wrecked to drop a lame goodbye."
"men at some time are masters of their fates:the fault,dear brutus,is not in our stars,but in ourselves,that we are underlings.","sometimes we call our own shots—yo brutus, it aint the stars, its on us for being basic."
"id have thee live,for in my sense tis happiness to die.","id have you live, even though dying is kinda the ultimate happy vibe, no cap."
"so hath thy breath,my dearest thisbe dear.","your breath is on point, my dearest thisbe."
"not for all this land would i be guilty of so deep a sin.","no cap, i aint down to commit that deep sin even for all the land."
"base men that use them to so base effect!","lame dudes using them for such basic moves!"
"i will not hurt your hearth.","i wont mess with your crib."
"report is changeable.","news is totally flip-flop."
"what is your plot?","whats your game plan?"
"een as apemantus does now,hate a lord with my heart.","like apemantus rn, im straight-up hating that lord."
"ah,gracious lord,these days are dangerous.","oh lord, these days are mad dangerous."
"you may jest on,but,by the holy rood,i do not like these several councils,i.","you can keep clowning, but swear, i aint vibing with these councils."
"loath to bid farewell,we take our leaves.","i hate goodbyes, so were bouncing."
"the breasts of hecuba,when she did suckle hector,looked not lovelier than hectors forehead when it spit forth blood at grecian sword,contemning.","hecubas boobs when nursing hector werent any prettier than hectors forehead when it was spitting blood at that greek sword."
"pirithous,keep the feast full;bate not an hour on t.","pirithous, keep the feast poppin; dont drag on."
"my lord,i do protest o,do not swear.","my lord, im lowkey protesting—cut the cuss words."
"the trees by th way should have borne men,and expectation fainted,longing for what it had not.","like, the trees shouldve grown dudes, but expectation just died waiting for what it never had."
"i will trust you.","i trust you, fam."
"what wouldst thou beg,laertes,that shall not be my offer,not thy asking?","laertes, what would you beg for that aint in my deal, bro?"
"there is no vice so simple but assumes some mark of virtue on his outward parts.","every weak vice has gotta flex some semblance of virtue outwardly."
"madam,i will.","maam, im in."
"they call it agincourt.","they call it agincourt."
"i see a man here needs not live by shifts,when in the streets he meets such golden gifts.","i see a dude here who aint gotta work shifts when the streets drop golden gifts."
"my lady goes to kill horns,but if thou marry,hang me by the neck if horns that year miscarry.","my ladys off to cop some horns, but if you get hitched, hang me if those horns flop."
"delicate ariel,ill set thee free for this.","delicate ariel, imma set you free for this, no cap."
"brother,sit down by me.","bro, sit next to me and vibe."
"hark,how our steeds for present service neigh!","listen up, our steeds are trippin, all set to serve."
"but shall i search the market?","should i go peep the market?"
"now could thou and i rob the thieves,and go merrily to london,it would be argument for a week,laughter for a month,and a good jest for ever.","yo, if we rob the thieves and roll to london, wed have debate material for a week, memes for a month, and jokes for life."
"my tongue-tied muse in manners holds her still,while comments of your praise richly compiled,reserve their character with golden quill,and precious phrase by all the muses filed.","my tongue-tied muse is chilling while all the sick praise for you gets flexed with a golden vibe and epic phrases."
"alack,where are you?","aww, where you at?"
"wilt thou slay thyself?","you thinking of yeeting yourself?"
"i pray you,good bassanio,let me know it;and if it stand,as you yourself still do,within the eye of honour,be assurd my purse,my person,my extremest means lie all unlockd to your occasions.","bassanio, lemme know whats up; if youre still rockin that honor, know my wallet, my self, and everythings at your call."
"a good knave.","thats a dope rogue."
"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning."
"tis a very excellent piece of work,madam lady:would twere done!","this piece is fire, madam—if only it was done!"
"pray god my news be worth a welcome,lord.","god, i hope my news is on point for you, lord."
"this chanced tonight.","this went down tonight."
"i have read the cause of his effects in galen.","i read up on the reason behind his moves in galen."
"fight at sea.","sea fight, lets get it."
"what is here?","whats the sitch here?"
"pardon me,caesar;for my dear dear love to your proceeding bids me tell you this,and reason to my love is liable.","pardon me, caesar; my baes insisting i drop this info, and loves riding on it."
"why do the emperors trumpets flourish thus?","why are the emperors horns blasting so extra?"
"have i not all their letters to meet me in arms by the ninth of the next month,and are they not some of them set forward already?","havent got all their messages to link up in arms by the 9th next month, and arent some sent already?"
"what seem i that i am not?","why does it seem like i aint?"
"a holy day shall this be kept hereafter.","this is gonna be a holy day vibe from here on out."
"a would have ten shares.","id take ten shares, no doubt."
"a tedious brief scene of young pyramus and his love thisbe;very tragical mirth.","a super short, lame scene of young pyramus and his thisbe—tragically funny."
"please you,sir,do not omit the heavy offer of it:it seldom visits sorrow;when it doth,it is a comforter.","sir, please dont skip this hefty offer—it hardly drops in sorrow, and when it does, its a legit comfort."
"god be with you!","gods with you, fam!"
"then he was urged to tell my tale again:thus saith the duke,thus hath the duke inferred but nothing spoke in warrant from himself.","then he got pressed to repeat my tale—the duke said he wasnt really speaking for himself."
"i see your end:tis my undoing.","i see your downfall, and its basically wrecking me."
"perceive how i might be knighted.","watch me level up and get knighted."
"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair."
"this is as strange a maze as eer men trod;and there is in this business more than nature was ever conduct of:some oracle must rectify our knowledge.","this maze is weird af, way beyond what anyones ever done; someones gotta set the record straight."
"how sweetly you do minister to love,that know loves grief by his complexion!","damn, you handle love so sweetly, totally spotting the heartbreak in its glow."
"is he among these?","is he in this squad?"
"proculeius,what thou hast done thy master caesar knows,and he hath sent for thee.","proculeius, your moves are out—caesars already called you up."
"satisfy me so.","give me that satisfaction, aight?"
"no,no,no such matter;you are wide.","nah, no, not like that—youre totally off."
"my mother,you say,then thus she says:your behaviour hath struck her into amazement and admiration.","my mom says your vibe totally shocked and impressed her."
"and daily new exactions are devised,as blanks,benevolences,and i wot not what.","and every day, they cook up new demands—as if freebies, favs, and random acts were on tap."
"whats past and whats to come she can descry.","she can spot whats been and whats about to go down."
"master constable,let these men be bound,and brought to leonatos:i will go before and show him their examination.","yo master constable, tie these dudes up and haul ‘em to leonatos; im rolling up to show him whats up with them."
"farewell,my masters;to my task will i;bonfires in france forthwith i am to make to keep our great saint georges feast withal.","later, my bosses; im off—gonna spark bonfires in france ASAP to keep saint georges feast lit."
"but you,my knight and guest;to whom this wreath of victory i give,and crown you king of this days happiness.","but yo, my knight and guest—you get this victory crown and youre crowned king of todays vibes."
"sir john,sir john,i am well acquainted with your manner of wrenching the true cause the false way.","sir john, i know your shady style of twisting the truth into bogus."
"their blood is caked,tis cold,it seldom flows;tis lack of kindly warmth they are not kind;and nature,as it grows again toward earth,is fashioned for the journey,dull and heavy.","their bloods crusted and ice cold, barely flowing; zero warm vibes, and natures built for a slow, heavy drag back to earth."
"pray you,go fit you to the custom,and take to you,as your predecessors have,your honour with your form.","please, get yourself suited up and flex your honor just like your forebears did."
"into what dangers would you lead me,cassius,that you would have me seek into myself for that which is not in me?","cassius, what crazy risks are you pulling, making me search for vibes i dont even have?"
"a soul feminine saluteth us.","a chill lady vibe is giving us a shout."
"o,if thine eye be not a flatterer,come thou on my side,and entreat for me;a begging prince what beggar pities not?","if your eye aint just buttering up, slide over and speak up for me—a broke prince that no one gives a damn about."
"thus we are agreed.","cool, were on the same page."
"by this your king hath heard of great augustus.","yo, your king already caught wind of augustus."
"go thou further off;bid me farewell,and let me hear thee going.","bounce, say peace out, and let me hear you dip."
"by my troth,i knew you not.","honestly, i didnt even know you."
"break off thy song,and haste thee quick away;here comes a man of comfort,whose advice hath often stilled my brawling discontent.","cut your song and dip, ‘cause here comes a chill dude whose advice usually calms my drama."
"and so farewell until i meet thee next.","so, peace out until we link up again."
"all our service,in every point twice done,and then done double,were poor and single business to contend against those honours deep and broad wherewith your majesty loads our house:for those of old,and the late dignities heapd up to them,we rest your hermits.","all our overhyped hustle, done and redone, was nothing compared to the massive honors you stack on our crib—old-school vibes and fresh titles, we owe it all to that."
"portia,what mean you?","portia, whats your take?"
"now do you know the reason of this haste.","now you get why were in such a rush?"
"let us bid farewell;and with our patience anger tottering fortune,who at her certainst reels.","lets bounce and dip while our patience even makes fortune shake when shes at her worst."
"good my lord,how does your honour for this many a day?","my dude, hows your rep holding up these days?"
"the citizens of corioles have issued,and given to lartius and to martius battle.","the corioles crew just rolled out and threw down with lartius and martius."
"i dare not say,from the rich cardinal and from the great and new-made duke of suffolk,yet i do find it so.","cant even front that its from the baller cardinal and the fresh duke of suffolk, but thats just how it is."
"o,fie!","ugh, thats weak!"
"trust me,sweet,out of this silence yet i pickd a welcome;and in the modesty of fearful duty i read as much as from the rattling tongue of saucy and audacious eloquence.","believe me, babe, even in this dead silence i found a welcome vibe; and doing my duty gave me more intel than that extra, bold chatter ever could."
"i could marry this wench for this device.","i might just tie the knot with this chick for pulling that move."
"no leisure had he to enrank his men;he wanted pikes to set before his archers;instead whereof sharp stakes pluckd out of hedges they pitched in the ground confusedly to keep the horsemen off from breaking in.","he didnt have time to squad up; he needed pikes for his archers, so they yanked sharp stakes outta hedges and slammed ‘em down to block the cavalry."
"my mangled body shows,my blood,my want of strength,my sick heart shows that i must yield my body to the earth and,by my fall,the conquest to my foe.","my wrecked body, drained blood, and weak heart are screaming that i gotta tap out and let my enemy snag the win."
"peradventure,to make it the more gracious,i shall sing it at her death.","maybe, to keep it classy, ill drop a tribute when she checks out for good."
"where be our men?","yo, where my squad at?"
"persuade me rather to be slave and sumpter to this detested groom.","try and convince me to be a pawn for this wack groom."
"there comes none here.","nah, aint nobody here."
"pray now,sit down.","chill, take a seat."
"this is the fear we bring;for,to say truth,it were an endless thing and too ambitious,to aspire to him,weak as we are,and,almost breathless,swim in this deep water.","this is the drama we bring; no lie, its endless and wild trying to catch up to him—were so weak, barely keeping our head above water."
"be not offended:i speak not as in absolute fear of you.","dont get it twisted, im not spitting this out of pure fear of you."
"well,well seet.","alright, alright, check it."
"do,good keeper.","do your thing, good keeper."
"what friend?","which homie?"
"he shall to parthia.","hes off to parthia."
"fare ye well at once;my bosom is full of kindness,and i am yet so near the manners of my mother,that upon the least occasion more,mine eyes will tell tales of me.","bounce out quick; my hearts loaded with kindness and im so much like my mom that even the smallest slip has my eyes spilling all the tea."
"yours,by this hand:and to see how he prizes the foolish woman your wife!","signed, and check out how much he digs the clown that is your wife!"
"but if your father had been victor there,he neer had borne it out of coventry;for all the country in a general voice cried hate upon him;and all their prayers and love were set on hereford,whom they doted on and blessd and graced,indeed more than the king.","but if your dad had copped the win, he wouldnt be repping coventry; the whole country was like ‘nah on him, and all the love went to hereford—who got mad props, even over the king."
"now my sick fool roderigo,whom love hath turnd almost the wrong side out,to desdemona hath tonight carousd potations pottle-deep;and hes to watch:three lads of cyprus,noble swelling spirits,that hold their honours in a wary distance,the very elements of this warlike isle,have i tonight flusterd with flowing cups,and they watch too.","now my messed-up roderigo, totally flipped by love, got lit with desdemona tonight—drinking deep while on watch—and three cyprus dudes, all noble but chill, true reps of this warlike island, got smashed with flowing cups while they peeped the scene."
"i would have had them writ more movingly.","i wish i coulda drop those feelings in a way that hits harder."
"what would he do,had he the motive and the cue for passion that i have?","what would he even do if he had the same fire and trigger for passion as me?"
"maria once told me she did affect me,and i have heard herself come thus near,that should she fancy,it should be one of my complexion.","maria once said she was into me, and i heard she got so close that if shes feeling it, its totally matching my vibe."
"thou knowest that the fashion of a doublet,or a hat,or a cloak,is nothing to a man.","you know, a doublet, a hat, or a cloak aint gonna make or break a man."
"i am glad of it.","im stoked on that."
"o my dear lord.","oh my god, lord."
"look there,my lords.","peep that, my dudes."
"the enmity and discord which of late sprung from the rancorous outrage of your duke to merchants,our well-dealing countrymen,who,wanting guilders to redeem their lives,have seald his rigorous statutes with their bloods,excludes all pity from our threatning looks.","the beef and drama that blew up from your dukes savage clapback at merchants—our legit country folks needing cash—has sealed his strict rules with blood, so theres zero pity in our glare."
"even to the next willow,about your own business,count.","even the next willow—just handle your own grind, ya feel?"
"her part,poor soul,seeming as burdened with lesser weight,but not with lesser woe,was carried with more speed before the wind,and in our sight they three were taken up by fishermen of corinth,as we thought.","her vibe, poor thing, looked lighter but still tragic, got blown away fast, and we thought three dudes were scooped up by corinth fishermen."
"there is my gage,the manual seal of death that marks thee out for hell.","heres my stamp, the death seal that tags you for hell."
"they are weary?","yo, they look tired?"
"nay,be brief;i see into thy end,and am almost a man already.","nah, keep it short; i can see your downfall, and im almost grown up already."
"yet i love thee well;and,by my troth,i think thou lovst me well.","but i still love you, and honestly, i reckon you love me back."
"i thank you most for him.","big thanks for hooking me up with him."
"get linen:now this matter must be lookd to,for her relapse is mortal.","grab some linen—this issues gotta get sorted, ‘cause her comeback is straight-up lethal."
"come,let us take a muster speedily.","lets roll out and gather up, fast."
"o god,o god,that eer this tongue of mine that laid the sentence of dread banishment on yon proud man should take it off again with words of sooth!","oh god, like, my tongue that just dissed that proud dude so hard is now backtracking with honest words!"
"what mean these fellows?","whats up with these dudes?"
"but,master,if i had been the sexton,i would have been that day in the belfry.","but boss, if i were the sexton, id have been chillin in the belfry that day."
"in what?","like, in what?"
"all the foul terrors in dark-seated hell enough,sweet suffolk;thou tormentst thyself,and these dread curses,like the sun gainst glass,or like an overcharged gun,recoil and turns the force of them upon thyself.","all the nasty horrors in deep hell, sweet suffolk; youre just hurting yourself, and these curses bounce back on you like sunlight on a mirror or an overcharged gun."
"the riot of the tipsy bacchanals,tearing the thracian singer in their rage?","the wild, smashed parties ripping into the thracian singer in a frenzy?"
"laertes shall be king!","laertes is gonna be king!"
"there be more wasps that buzz about his nose will make this sting the sooner.","more wasps buzzing around his nose means the stings gonna hit sooner."
"content thyself.","chill, be content."
"you shall look fairer ere i give or hazard.","youre gonna glow up before i even risk saying anything."
"i was,but i do find more pain in banishment than death can yield me here by my abode.","i was down, but i gotta say, being exiled hurts way more than dying here at home."
"i have heard the fortunes of your dead lords,which gives me such lamenting as wakes my vengeance and revenge for em.","i heard the scoop on your dead lords, and it hit me so hard its sparking my revenge vibes."
"plantagenet,for all the claim thou layst,think not that henry shall be so deposed.","plantagenet, for all your clout, dont think henrys gonna get overthrown like that."
"if you do meet horatio and marcellus,the rivals of my watch,bid them make haste.","if you bump into horatio and marcellus—my watch squad rivals—tell ‘em to hustle up."
"why,theres the privilege your beauty bears.","yo, thats the bonus that comes with being drop-dead gorgeous."
"by whom,aeneas?","who, aeneas?"
"ill leave you to your prayers,and betwixt ye i part my wishes.","ill let you get back to your prayers, and in between, im dropping my wishes."
"for then tis like i should forget myself.","because then its like id totally lose myself."
"he altred much upon the hearing it.","he totally switched it up when he heard the news."
"what art thou,and how comest thou hither where no man never comes but that sad dog that brings me food to make misfortune live?","who even are you, and how did you roll up here, where no one ever shows up except that sad-ass dog who drops food to keep misfortune alive?"
"what hempen homespuns have we swaggering here,so near the cradle of the fairy queen?","whats with these dodgy, hempy fits were rocking here, right by the fairy queens crib?"
"come,lords,will you go to comfort edward with our company?","come on, my dudes, lets roll and vibe with edward to cheer him up."
"nay,i prithee now,with most petitionary vehemence,tell me who it is.","nah, im begging you—seriously, spill who it is."
"we number nothing that we spend for you.","we arent even close to what we drop for you."
"he will be the ninth worthy.","hes gonna be the ninth one worth it."
"killing our enemies,the blood he hath lost which i dare vouch is more than that he hath by many an ouncehe dropt it for his country;and what is left,to lose it by his country were to us all,that dot and suffer it a brand to th end o th world.","taking out our enemies—the blood hes spilled, i swear, is more than what hes dropped for his country—and if he loses the rest, itd mark us for life, no cap."
"your wife and brother made wars upon me,and their contestation was theme for you;you were the word of war.","your wife and brother went to war on me, and their beef became your whole vibe—you were the ultimate war flex."
"what is his honesty?","how real is he?"
"full of vexation come i,with complaint against my child,my daughter hermia.","im super pissed, venting about my daughter hermia."
"have you a precedent of this commission?","yo, do you have a past example of this job?"
"here,there,and everywhere,he leaves and takes;dexterity so obeying appetite that what he will he does,and does so much that proof is calld impossibility.","everywhere, he just bounces and grabs—his skills follow his cravings so hard he pulls off the impossible."
"nay,prithee,be covered.","nah, please, keep it under wraps."
"you herd ofboils and plagues plaster you oer,that you may be abhorred farther than seen,and one infect another against the wind a mile!","you bunch of gross breakouts and plagues, plastered all over so people can hate you even more, and infect each other like theres no tomorrow!"
"or shall we bite our tongues,and in dumb shows pass the remainder of our hateful days?","or should we just shut our traps and ghost through the rest of these cursed days?"
"timon will to the woods,where he shall find th unkindest beast more kinder than mankind.","timons bailing to the woods, where even the harshest animal is way nicer than humans."
"did you see master lorenzo?","yo, did you peep master lorenzo?"
"i see them now;then was a blessed time.","i see ‘em now; those were the days."
"it would be every mans thought;and thou art a blessed fellow to think as every man thinks.","everyone would be thinking it; youre a straight-up legend for vibing like the rest of us."
"oxford,how haps it in this smooth discourse you told not how henry the sixth hath lost all that which henry the fifth had gotten?","oxford, whats the deal in this smooth chat—you totally skipped how henry the sixth lost everything henry the fifth scored."
"would i were fairly out ont!","i wish i could just dip out completely!"
"and since,methinks i would not grow so fast,because sweet flowers are slow and weeds make haste.","and since, i reckon i wouldnt glow up that fast—real beauty takes time while the basic stuff grows on fast."
"the worst is but denial and reproving.","the worst is just frontin and throwing extra shade."
"thyself and thy belongings are not thine own so proper as to waste thyself upon thy virtues,they on thee.","you and your stuff aint really yours if you waste yourself over flexing virtues—theyre on you."
"my ladys father!","yo, your ladys dad!"
"eros,ho!","yo, eros, hold up!"
"and then to glance from him to th duke himself,to tax him with injustice?","and then you switch your eyes from him to the duke, trying to call him out for being straight-up unfair?"
"so,now the gates are ope.","so now, the gates are open."
"cleopatra,catching but the least noise of this,dies instantly.","cleopatra, even the tiniest hint of this, and shes done."
"now,my fairst friend,i would i had some flowers o th spring,that might become your time of day;and yours,and yours,that wear upon your virgin branches yet your maidenheads growing.","now, my flyest friend, i wish i had some spring blooms to light up your day—for you, still blossoming on that fresh vibe."
"but if you mind to hold your true obedience,give me assurance with some friendly vow,that i may never have you in suspect.","but if youre down to keep it 100, drop me a promise so i never gotta doubt you."
"and therefore take the present time,with a hey,and a ho,and a hey nonino,for love is crowned with the prime,in the spring-time,the only pretty ring time,when birds do sing,hey ding a ding,ding.","so, seize the moment—with a hey, a ho, and a hey nonino—‘cause love gets its crown in spring when the birds are straight vibin, ding ding ding."
"if they did kill thy husband,then be joyful,because the law hath taen revenge on them.","if they offed your husband, then be hyped, ‘cause the law just got even with them."
"god made him,and therefore let him pass for a man.","god made him, so let him roll as a real dude."
"when he walks,he moves like an engine,and the ground shrinks before his treading.","when he walks, hes like a beast on an engine—and the ground cant handle his stride."
"the same sir john,the very same.","thats the same sir john, legit the same one."
"if you be she,i do entreat your patience to hear me speak the message i am sent on.","if youre the one, please chill and let me drop the message i gotta deliver."
"if any spark of life be yet remaining,down,down to hell;and say i sent thee thitheri that have neither pity,love,nor fear.","if theres any spark left, deep down in hell, tell ‘em i sent you—the ones with zero pity, love, or fear."
"antony and potpan!","antony and potpan, yo!"
"lady mine,proceed.","lady, make your move."
"nay,you shall fight your hearts out ere i part you.","nah, youre gonna fight your heart out before i let you bounce."
"thy sight is young,and thou shalt read when mine begin to dazzle.","your vibe is young, and youll catch my drift when i start shining."
"come,good lorenzo.","come on, good lorenzo."
"give me the ocular proof,or,by the worth of mans eternal soul,thou hadst been better have been born a dog than answer my wakd wrath.","show me the proof, or, for real, by the weight of a mans soul, youd be better off born a mutt than catchin my wrath."
"therefore tell me true;but tell me then,tis so;for,look,thy cheeks confess it,tone to thother;and thine eyes see it so grossly shown in thy behaviours,that in their kind they speak it;only sin and hellish obstinacy tie thy tongue,that truth should be suspected.","so be real; your cheeks are confessing it and your eyes are screaming the truth—only your stubborn side keeps you quiet."
"fie,fie,what tediosity and disinsanity is here among ye!","ugh, seriously, what lame vibes and insane nonsense are yall throwing around!"
"obey,and go with me,for thou must die.","follow me and ride with me, ‘cause you gotta dip eventually."
"certain it is i likd her and boarded her i the wanton way of youth.","no doubt, i was into her and jumped on her in that wild, reckless youth mode."
"alas,poor duke!","dang, poor duke!"
"i will not fail your ladyship.","i got your back, your ladyship."
"shall we clap intot roundly,without hawking or spitting or saying we are hoarse,which are the only prologues to a bad voice?","should we give it up loud without coughin, spittin, or sayin were hoarse—‘cause thats just the intro to a weak vibe?"
"turn thy false face,thou traitor,and pay thy life thou owest me for my horse.","flip that fake face, you traitor, and cough up your life for my ride."
"our wars are done.","our battles are over."
"all-hallond eve.","all-hallow eve, yo."
"say again,where didst thou leave these varlets?","repeat that—whered you ditch those punks?"
"will you to scone?","you headin to scone?"
"why,my boy?","why, bro?"
"a bold brave gentleman.","a bold, brave guy."
"laus deo,bone intelligo.","praise god, i totally get it."
"comfort,my liege.","cheer up, my liege."
"consumption catch thee!","consumption, catch ya!"
"nay,the dust should have ascended to the roof of heaven,raised by your populous troops.","nah, the dust shouldve soared to heavens roof, kicked up by your massive squad."
"which is that barnardine?","which ones that barnardine?"
"how darkly and how deadly dost thou speak!","youre speaking so dark and deadly!"
"this here before you.","this right here, in front of you."
"sir,let me be so bold as ask you,did you yet ever see baptistas daughter?","sir, let me be real—have you ever peeped baptistas daughter?"
"i embrace ye.","im down for you."
"the amity that wisdom knits not,folly may easily untie.","the bond that wisdom cant lock down gets undone easy by foolery."
"thou canst compel no more than she entreat;thy threats have no more strength than her weak prayers.","you can only push as hard as shes willing; your threats are as weak as her low-key prayers."
"well,lets away,and say how much is done.","alright, lets dip and say whats done."
"for he is set so only to himself that nothing but himself which looks like man is friendly with him.","hes so self-absorbed that only another self-lover can vibe with him."
"the lieutenant tonight watches on the court of guard:first,i must tell thee this:desdemona is directly in love with him.","the lt on guard tonight—first off, gotta say: desdemonas totally into him."
"what fear is this which startles in our ears?","what kind of fear is this thats tryna shake us?"
"and ill still stay,to have thee still forget,forgetting any other home but this.","and ill stick around so you forget every other spot but this one."
"harry the fourth,or fifth?","harry the fourth, or fifth?"
"o,how the wheel becomes it!","yo, how the wheel totally suits it!"
"wrinkles forbid!","no wrinkles allowed!"
"that can i witness,and a fouler fact did never traitor in the land commit.","i can witness that, and no traitors ever done a harsher move."
"go,hence with diligence!","bounce, and do it quick!"
"why,is not oxford here another anchor?","why isnt oxford here as another solid anchor?"
"to an ass,were nothing:he is both ass and ox.","an ass aint enough—hes basically both a dumbass and a beast."
"upon this warrant shall you have access where you with silvia may confer at large for she is lumpish,heavy,melancholy,and,for your friends sake,will be glad of you where you may temper her by your persuasion to hate young valentine and love my friend.","with this pass, you can link up with silvia all you want—shes chunky, moody, and for real, shed be down if you could convince her to diss young valentine and ride with my homie."
"let this be so;his means of death,his obscure burial,no trophy,sword,nor hatchment oer his bones,no noble rite,nor formal ostentation,cry to be heard,as twere from heaven to earth,that i must callt in question.","let it be—his way of dying, his low-key burial, no trophies, swords, or flashy signs over his bones, no proper send-off, all shouting so loud its like heaven calling, that i gotta call it out."
"their preparation is today by sea;we please them not by land.","theyre prepping by sea today; were not vibing with them on land."
"so hot a speed with such advice disposd,such temperate order in so fierce a cause,doth want example.","that kind of rapid move with chill advice and calm order in a fierce cause seriously needs an example."
"een he that led you to this banquet shall taste to you all.","the dude who got you to this banquet will dish out all the flavor to you."
"re-enter cassandra with priam.","cassandra, come back with priam."
"i sent for thee upon a sad occasion.","i summoned you for a low-key sad occasion."
"did you go tot so young?","did you dip out while you were still young?"
"a friend.","a friend, for real."
"as gaming,my lord?","as in, gaming, my lord?"
"and what is it?","and whats the deal?"
"this windy tempest,till it blow up rain,held back his sorrows tide,to make it more.","this windy tempest, ‘til it bursts into rain, kept its tears locked to turn up the drama."
"sauf votre honneur,le franais que vous parlez,il est meilleur que langlais lequel je parle.","yo, with all due respect, the french you speak is way better than the english im droppin."
"cry,trojans,cry.","cry, trojans, cry."
"leave thy peeping,mock with thy tickling beams eyes that are sleeping.","quit peeping and stop mocking with those twinkling, snoozing eyes."
"what an arm he has!","dudes got a killer arm!"
"if you be he,sir,i desire some confidence with you.","if youre him, sir, i need some real talk with you."
"thou idle dreamer,wherefore didst thou so?","you lazy dreamer, whyd you do that?"
"marry,heaven forbid!","for real, heaven forbid!"
"but thus,i trust,you will not marry her.","but im counting on you not to tie the knot with her."
"o deadly sin,o rude unthankfulness!","oh, deadly sin, oh, savage ungratefulness!"
"cancel his bond of life,dear god,i pray,that i may live to say the dog is dead.","cut his life bond, dear god, so i can live to say the fool is dead."
"what said popilius lena?","what did popilius lena say?"
"i am glad i have found this napkin;this was her first remembrance from the moor.","im stoked i found this napkin; its her first keepsake from the moor."
"for the formin some form.","for the formin, theres always some form."
"may i be bold to think these spirits?","can i be bold enough to say i feel these spirits?"
"and,as i am an honest puck,if we have unearnd luck now to scape the serpents tongue,we will make amends ere long;else the puck a liar call.","and since im a straight-up puck, if we get lucky dodging the serpents spit, well make things right soon; otherwise, call me a liar."
"cousin,throw up your gage;do you begin.","cousin, throw up your wager; you ready to kick it off?"
"come,brother john,full bravely hast thou fleshd thy maiden sword.","come, brother john, you bravely pulled out your first sword."
